id,layer,subfind_id,is_central,in_radius,has_host,has_time_edge,mass_total(1e10Msun/h)
s040/sid402100,40,402100,0,1,1,1,0.22607241570949554
s040/sid193030,40,193030,0,1,1,1,0.2742252051830292
s040/sid702836,40,702836,0,1,0,1,0.7398290038108826
s040/sid878085,40,878085,0,1,0,1,0.27181577682495117
s040/sid963260,40,963260,0,1,0,1,0.17560841143131256
s040/sid691892,40,691892,0,1,0,1,1.0872113704681396
s040/sid866511,40,866511,0,1,0,1,0.25245365500450134
s040/sid909067,40,909067,0,1,0,1,0.21446079015731812
s040/sid929453,40,929453,0,1,0,1,0.18940971791744232
s040/sid352578,40,352578,0,1,0,1,13.518950462341309
s040/sid515188,40,515188,0,1,0,1,3.563488006591797
s040/sid767062,40,767062,0,1,0,1,0.5813485980033875
s040/sid685064,40,685064,0,1,0,1,1.1183634996414185
s040/sid849285,40,849285,0,1,0,1,0.30466726422309875
s040/sid193025,40,193025,0,1,0,1,53.15633773803711
s040/sid193026,40,193026,0,1,0,1,31.207143783569336
s040/sid193028,40,193028,0,1,1,1,0.3312610983848572
s040/sid555724,40,555724,0,1,0,1,2.5210556983947754
s040/sid908890,40,908890,0,1,0,1,0.1967938244342804
s040/sid853959,40,853959,0,1,0,0,0.2974722683429718
s040/sid783308,40,783308,0,1,0,1,0.3300435543060303
s040/sid981295,40,981295,0,1,0,1,0.15882180631160736
s040/sid844337,40,844337,0,1,0,1,0.3314286768436432
s040/sid1030002,40,1030002,0,1,0,0,0.1166267991065979
s040/sid914527,40,914527,0,1,0,1,0.21986080706119537
s040/sid754272,40,754272,0,1,0,1,0.6467375159263611
s040/sid740538,40,740538,0,1,0,1,0.5537685751914978
s040/sid193036,40,193036,0,1,1,1,0.1066662147641182
s040/sid352581,40,352581,0,1,1,1,0.24607181549072266
s033/sid962001,33,962001,0,1,0,1,0.13551627099514008
s033/sid852257,33,852257,0,1,0,1,0.24390216171741486
s033/sid943910,33,943910,0,1,0,1,0.15782664716243744
s033/sid698786,33,698786,0,1,0,1,0.5456731915473938
s033/sid200101,33,200101,0,1,0,1,2.9468162059783936
s033/sid733469,33,733469,0,1,0,1,0.5304915904998779
s033/sid768510,33,768510,0,1,0,1,0.40579867362976074
s033/sid633577,33,633577,0,1,0,1,0.9727641940116882
s033/sid661757,33,661757,0,1,0,1,0.4169265627861023
s033/sid1007689,33,1007689,0,1,0,0,0.1264079362154007
s033/sid856013,33,856013,0,1,0,0,0.2209869772195816
s033/sid730362,33,730362,0,1,0,1,0.43969908356666565
s033/sid500794,33,500794,0,1,0,1,2.2761924266815186
s033/sid200100,33,200100,0,1,0,1,4.640500068664551
s033/sid200102,33,200102,0,1,1,1,0.39591479301452637
s033/sid780312,33,780312,0,1,0,0,0.13747142255306244
s033/sid943462,33,943462,0,1,0,1,0.1658245027065277
s033/sid693309,33,693309,0,1,0,1,0.6032335162162781
s033/sid636804,33,636804,0,1,0,1,0.6449657082557678
s033/sid625974,33,625974,0,1,0,1,1.0380421876907349
s033/sid176382,33,176382,0,1,0,1,42.469329833984375
s033/sid176383,33,176383,0,1,0,1,0.9603801965713501
s033/sid801259,33,801259,0,1,0,1,0.30948030948638916
s033/sid821791,33,821791,0,1,0,1,0.27015942335128784
s033/sid723697,33,723697,0,1,0,1,0.446158766746521
s033/sid200104,33,200104,0,1,0,1,0.17941713333129883
s033/sid783011,33,783011,0,1,0,1,0.2411995679140091
s033/sid875638,33,875638,0,1,0,1,0.23269975185394287
s033/sid880959,33,880959,0,1,0,1,0.19080884754657745
s033/sid347565,33,347565,0,1,0,1,7.965790271759033
s033/sid634834,33,634834,0,1,0,1,0.7755122184753418
s033/sid200099,33,200099,0,1,0,1,20.78300666809082
s033/sid674978,33,674978,0,1,0,1,0.5319004654884338
s033/sid332550,33,332550,0,1,0,1,8.07348918914795
s033/sid507515,33,507515,0,1,0,1,2.0447001457214355
s033/sid176387,33,176387,0,1,1,1,0.14787913858890533
s033/sid176388,33,176388,0,1,1,0,0.13850155472755432
s033/sid176389,33,176389,0,1,1,1,0.11201582849025726
s033/sid332552,33,332552,0,1,1,1,0.14097139239311218
s025/sid235158,25,235158,0,1,0,1,6.020954132080078
s025/sid566331,25,566331,0,1,0,1,0.40353819727897644
s025/sid760033,25,760033,0,1,0,1,0.21443872153759003
s025/sid301047,25,301047,0,1,0,1,3.266634941101074
s025/sid954053,25,954053,0,1,0,0,0.1063196063041687
s025/sid236358,25,236358,0,1,0,1,3.199044942855835
s025/sid858742,25,858742,0,1,0,1,0.1503008008003235
s025/sid474742,25,474742,0,1,0,1,1.102960467338562
s025/sid697966,25,697966,0,1,0,1,0.2886503040790558
s025/sid860127,25,860127,0,1,0,0,0.12627200782299042
s025/sid630910,25,630910,0,1,0,1,0.3786505460739136
s025/sid583843,25,583843,0,1,0,1,0.36508908867836
s025/sid583844,25,583844,0,1,0,1,0.1196497231721878
s025/sid620778,25,620778,0,1,0,1,0.2056160867214203
s025/sid613058,25,613058,0,1,0,1,0.24837447702884674
s025/sid390576,25,390576,0,1,0,1,0.5464898943901062
s025/sid416512,25,416512,0,1,0,1,1.2229187488555908
s025/sid476875,25,476875,0,1,0,1,0.9986531138420105
s025/sid243368,25,243368,0,1,0,1,5.609851360321045
s025/sid577962,25,577962,0,1,0,1,0.5565720200538635
s025/sid717322,25,717322,0,1,0,1,0.2638799548149109
s025/sid723414,25,723414,0,1,0,0,0.11990758031606674
s025/sid671853,25,671853,0,1,0,1,0.2974711060523987
s025/sid515263,25,515263,0,1,0,1,0.6073880195617676
s025/sid700410,25,700410,0,1,0,1,0.17238183319568634
s025/sid761579,25,761579,0,1,0,1,0.1972493827342987
s025/sid710156,25,710156,0,1,0,1,0.2463287115097046
s025/sid508686,25,508686,0,1,0,1,0.6213566660881042
s025/sid395554,25,395554,0,1,0,1,0.14536498486995697
s025/sid236359,25,236359,0,1,0,1,1.0796105861663818
s025/sid757536,25,757536,0,1,0,0,0.18621571362018585
s025/sid876143,25,876143,0,1,0,0,0.1272270381450653
s025/sid810523,25,810523,0,1,0,1,0.16213837265968323
s025/sid152196,25,152196,0,1,0,1,13.82554817199707
s025/sid381953,25,381953,0,1,0,1,1.873374104499817
s025/sid96916,25,96916,0,1,0,1,28.410730361938477
s025/sid96917,25,96917,0,1,0,1,0.5501827001571655
s025/sid96919,25,96919,0,1,1,1,0.23613643646240234
s025/sid96921,25,96921,0,1,1,1,0.11220719665288925
s025/sid96922,25,96922,0,1,1,1,0.11254175007343292
s025/sid96924,25,96924,0,1,1,1,0.10258373618125916
s025/sid152197,25,152197,0,1,1,0,0.1732632964849472
s025/sid152198,25,152198,0,1,1,1,0.13536562025547028
s025/sid236360,25,236360,0,1,1,1,0.21955694258213043
s021/sid50041,21,50041,0,1,1,1,0.16767945885658264
s021/sid369886,21,369886,0,1,0,1,0.5011776089668274
s021/sid504343,21,504343,0,1,0,0,0.22022873163223267
s021/sid327395,21,327395,0,1,0,1,0.8702005743980408
s021/sid394514,21,394514,0,1,0,1,0.48533129692077637
s021/sid415790,21,415790,0,1,0,1,0.5046165585517883
s021/sid714748,21,714748,0,1,0,0,0.13255855441093445
s021/sid571237,21,571237,0,1,0,1,0.1971173882484436
s021/sid675711,21,675711,0,1,0,0,0.12013653665781021
s021/sid685605,21,685605,0,1,0,0,0.12843401730060577
s021/sid569176,21,569176,0,1,0,1,0.2242063283920288
s021/sid108287,21,108287,0,1,0,1,7.79920768737793
s021/sid628435,21,628435,0,1,0,1,0.16626793146133423
s021/sid237712,21,237712,0,1,0,1,1.8070621490478516
s021/sid655327,21,655327,0,1,0,0,0.1232372298836708
s021/sid455915,21,455915,0,1,0,1,0.29683762788772583
s021/sid50039,21,50039,0,1,1,1,0.36331531405448914
s021/sid505113,21,505113,0,1,0,1,0.20405542850494385
s021/sid719005,21,719005,0,1,0,0,0.13127563893795013
s021/sid50038,21,50038,0,1,0,1,19.570310592651367
s021/sid329426,21,329426,0,1,0,1,0.8670288324356079
s021/sid603125,21,603125,0,1,0,1,0.22510075569152832
s021/sid747249,21,747249,0,1,0,0,0.119599349796772
s021/sid191541,21,191541,0,1,0,1,2.475693941116333
s021/sid528403,21,528403,0,1,0,1,0.2970990240573883
s021/sid275033,21,275033,0,1,0,1,1.2683924436569214
s021/sid462433,21,462433,0,1,0,1,0.40048539638519287
s021/sid458057,21,458057,0,1,0,1,0.39955946803092957
s021/sid143986,21,143986,0,1,0,1,5.0821733474731445
s021/sid716899,21,716899,0,1,0,1,0.11319020390510559
s021/sid758107,21,758107,0,1,0,0,0.1044679805636406
s021/sid427784,21,427784,0,1,0,1,0.43346330523490906
s021/sid550830,21,550830,0,1,0,1,0.2033805400133133
s021/sid351255,21,351255,0,1,0,1,0.8448154330253601
s021/sid743570,21,743570,0,1,0,1,0.12190266698598862
s021/sid357484,21,357484,0,1,0,1,0.5587461590766907
s021/sid421933,21,421933,0,1,0,1,0.509607195854187
s021/sid158785,21,158785,0,1,0,1,3.5572926998138428
s021/sid158786,21,158786,0,1,0,1,0.41831550002098083
s021/sid50040,21,50040,0,1,1,1,0.2660539150238037
s017/sid31251,17,31251,0,1,0,0,9.489468574523926
s017/sid315347,17,315347,0,1,0,0,0.37194719910621643
s017/sid246247,17,246247,0,1,0,0,0.4813547134399414
s017/sid194094,17,194094,0,1,0,0,0.7559648156166077
s017/sid194095,17,194095,0,1,1,0,0.11771170049905777
s017/sid237219,17,237219,0,1,0,0,0.2241426557302475
s017/sid288960,17,288960,0,1,0,0,0.41574418544769287
s017/sid281196,17,281196,0,1,0,0,0.5251120924949646
s017/sid130297,17,130297,0,1,0,0,1.3171294927597046
s017/sid362760,17,362760,0,1,0,0,0.24625715613365173
s017/sid488157,17,488157,0,1,0,0,0.15037661790847778
s017/sid247645,17,247645,0,1,0,0,0.4781603515148163
s017/sid59179,17,59179,0,1,0,0,5.711077690124512
s017/sid80591,17,80591,0,1,0,0,3.835402727127075
s017/sid347556,17,347556,0,1,0,0,0.3288482427597046
s017/sid461295,17,461295,0,1,0,0,0.14394865930080414
s017/sid293287,17,293287,0,1,0,0,0.2816883623600006
s017/sid551833,17,551833,0,1,0,0,0.12445125728845596
s017/sid176879,17,176879,0,1,0,0,1.0093709230422974
s017/sid547662,17,547662,0,1,0,0,0.11889735609292984
s017/sid502583,17,502583,0,1,0,0,0.1349339634180069
s017/sid314557,17,314557,0,1,0,0,0.3320509195327759
s017/sid476686,17,476686,0,1,0,0,0.15509553253650665
s017/sid31252,17,31252,0,1,0,0,0.992533266544342
s017/sid595454,17,595454,0,1,0,0,0.1009209156036377
s017/sid617033,17,617033,0,1,0,0,0.10068564862012863
s017/sid105718,17,105718,0,1,0,0,0.17868268489837646
s017/sid188823,17,188823,0,1,0,0,0.8278939723968506
s017/sid402316,17,402316,0,1,0,0,0.21724623441696167
s017/sid434222,17,434222,0,1,0,0,0.1498960256576538
s017/sid343911,17,343911,0,1,0,0,0.2655106484889984
s017/sid245031,17,245031,0,1,0,0,0.6581040024757385
s017/sid105716,17,105716,0,1,0,0,1.7650649547576904
